10.16.1.244,ftp.ss.org
10.16.1.245,ssocrm.ss.org
10.16.1.246,hispilot
10.16.1.247,Darman-Service-Weblogic-Dis-F5
10.16.1.248,کمیسیونپزشکیسبا
10.16.1.249,Saml-Dis-F5
10.16.1.250,ForRightel(id=4)
10.16.1.251,"ForLan,Support,noc,SsoLan(id=5)"
10.16.1.252,SakhtAfzar-PAT-iLOAccess
10.16.1.253,ForServers(id=9)
10.16.1.254,
10.19.171.1,TCT-GateWay
10.19.171.2,SetOnFortigate
10.19.171.3,Set On ASA-WAN
10.19.171.4,ForMikrotik(VPN)
10.19.171.5,ForAsaNetRight
10.19.171.6,SD-WAN
10.19.171.7,Vsmart-SDWAN
10.19.171.8,SD-WAN
10.19.171.9,SBC(FirewallDeviceForVoipRaziee)
10.19.171.10,PAT
10.19.171.11,SBC(FirewallDeviceForVoipRaziee)
10.19.171.12,SD-WAN
10.19.171.13,SD-WAN
10.19.171.14,VZK-FortiGate-Zone
10.19.171.15,PortalDarman-Test-Dis(NSX)
10.19.171.17,TFH-Dis-F5
10.19.171.18,EPService-Dis-NSX
10.19.171.19,EPService-Node1
10.19.171.21,EPService-Node2
10.19.171.22,Eservice-Dis-F5
10.19.171.24,Account-Service-Test-Dis-F5
10.19.171.25,EP-Dis-F5
10.19.171.28,CRM-APP-N1
10.19.171.30,Samt-Dis-F5
10.19.171.31,CentralPay-Dis-F5
10.19.171.32,CRM-APP-N2
10.19.171.35,CRM-Portal-N1
10.19.171.36,CRM-Portal-N2
10.19.171.37,CRM-CallSys
10.19.171.38,CRM-FaxSys
10.19.171.39,CRM-SmSys
10.19.171.40,Eservices-Test-Dis(Eivazi)
10.19.171.41,SATA-EP-APP
10.19.171.42,Darman-Service-N1
10.19.171.44,HLTDoc-APP-Test
10.19.171.45,Inspection-Dis-F5
10.19.171.46,Darman-Service-N2
10.19.171.47,Darman-Service-Weblogic-Dis-F5
10.19.171.48,Darman-Service-N3
10.19.171.49,Darman_service(jboss)
10.19.171.50,CRM-Dis-F5
10.19.171.52,Inspection2-Dis-F5
10.19.171.53,Darman-N5
10.19.171.54,Darman-N6
10.19.171.55,Darman-N7
10.19.171.56,Darman-N8
10.19.171.58,adobe-connect
10.19.171.66,GamApp-N1
10.19.171.76,CRMDev-Dis-F5
10.19.171.77,Mattermost-Tamin(ESX97)
10.19.171.79,Monitoring-Geo
10.19.171.84,Consultant
10.19.171.88,Salamat-Service-SATA
10.19.171.90,TaminSOA-Node1
10.19.171.91,TaminSOA-Node2
10.19.171.92,172.18.200.20
10.19.171.93,Darman-N1
10.19.171.94,Darman-N2
10.19.171.95,Darman-N3
10.19.171.96,Darman-N4
10.19.171.97,Eservice-Test-Eivazi-Dis-F5
10.19.171.99,Celist-Dis-F5
10.19.171.100,VZK-PRS1-Dis-F5
10.19.171.101,VZK-VOS-Dis-F5
10.19.171.104,VZK-VOSAPP-Dis-F5
10.19.171.106,VZK-Dashboard-Dis-F5
10.19.171.107,VZK-Omana-HTTP-Dis-F5
10.19.171.108,VZK-Web-Sigma
10.19.171.109,VZK-Omana-HTTP-2121-Dis-F5
10.19.171.110,VZK-Omana-HTTP-2122-Dis-F5
10.19.171.111,VZK-Majma
10.19.171.112,VZK-Farabar-Dis-F5
10.19.171.114,GamApp-N1
10.19.171.115,Medical-Support-Dis-F5
10.19.171.116,Ins-Relation-Dis-F5
10.19.171.117,Order-Payment-Dis-F5
10.19.171.119,Piwik-Dis-F5
10.19.171.120,Account-Service-Dis-F5
10.19.171.123,VZK-Sanar
10.19.171.124,VZK-TekAPP
10.19.171.129,EzamBimar-Dis-F5
10.19.171.130,Darman-Dis-F5
10.19.171.131,DarmanWS-Dis-F5
10.19.171.132,Lab-Dis-F5
10.19.171.135,EPService-Dis-F5
10.19.171.137,eservices-Dis-F5
10.19.171.138,Health-WS
10.19.171.140,PortalKhabar-T
10.19.171.141,172.18.6.141
10.19.171.142,172.18.6.142
10.19.171.145,PortalKhabar-Dis-F5
10.19.171.146,jira-srv-Dis(F5)
10.19.171.148,Nobat-APP-Dis-F5
10.19.171.150,Adobe-Connect-Sazman
10.19.171.153,
10.19.171.161,EP-Dis-F5
10.19.171.162,ST-EP-Dis-F5(نودتستی)
10.19.171.163,CElist-Dis-F5
10.19.171.164,Elist-Dis-F5
10.19.171.165,Darman-Service-Dis-F5
10.19.171.166,LoanTamin-Dis-NSX
10.19.171.174,Acrarium-Dis-F5
10.19.171.176,Sima-Dis-F5
10.19.171.199,HLTDoc-APP-Dis-F5
10.19.171.200,MC-Dis-F5
10.19.171.201,MC2-Dis-F5
10.19.171.217,Nobat-KhorasanRazavi-Dis-F5
10.19.171.220,Account-Service-Dis-F5
10.19.171.226,Bi-Darman
10.19.171.237,SSODC-FS
10.19.171.254,RouterIpsec-TunnelBahrak
10.30.44.1,Tamin Router
10.30.44.3,juniper
10.30.44.4,ASAWANL
10.30.44.5,ASA WAN R
10.30.44.6,Fortigate-SSO
10.30.44.10,Router-auth
10.30.44.12,DB4RH
10.30.44.15,اتوماسیون سازمان سمت دیتا سنتر
10.30.44.17,
10.30.44.18,Bimeh-Web
10.30.44.19,Darman Web
10.30.44.23,strdb1-node2
10.30.44.24,
10.30.44.25,سازمان
10.30.44.27,HRIS
10.30.44.28,سازمان
10.30.44.31,سازمان
10.30.44.32,سازمان
10.30.44.33,سازمان
10.30.44.34,wan-dns
10.30.44.36,Kasper13
10.30.44.37,ssodispather2
10.30.44.39,E_Payment
10.30.44.40,Taminpp3
10.30.44.43,
10.30.44.44,EzamBimar-web
10.30.44.46,سازمان
10.30.44.47,
10.30.44.48,DB6RH
10.30.44.49,
10.30.44.50,strdb1-node2-VIP
10.30.44.51,WebServer4
10.30.44.52,WebServer4
10.30.44.53,Fannid
10.30.44.54,LabRefer
10.30.44.56,smart4-sh2
10.30.44.58,WebServer4
10.30.44.59,?
10.30.44.62,Wanmonitor
10.30.44.63,سازمان
10.30.44.68,Drivers
10.30.44.73,سازمان
10.30.44.74,سازمان
10.30.44.75,SVN
10.30.44.78,سازمان
10.30.44.79,CloudApp
10.30.44.80,DB_Pilot
10.30.44.81,سازمان
10.30.44.84,سازمان
10.30.44.85,?
10.30.44.86,WebServer1
10.30.44.91,Freeze
10.30.44.92,
10.30.44.93,سازمان
10.30.44.97,Insurance Jobless
10.30.44.98,Coding-Base
10.30.44.99,Backup-Data
10.30.44.100,wanvcenter-darman
10.30.44.106,ES-Darman
10.30.44.114,
10.30.44.115,ReplicatFetch2
10.30.44.120,RHWEBSRV3
10.30.44.121,IMA
10.30.44.122,dbprocdisk
10.30.44.126,Insurance
10.30.44.127,Server Does not exsit
10.30.44.146,
10.30.44.153,
10.30.44.159,
10.30.44.169,
10.30.44.171,
10.30.44.174,
10.30.44.177,VCENTER-Wan (not Nat on firewall)
10.30.44.196,
10.30.44.217,
10.30.44.230,
10.30.44.241,UseForPATJUNIPER
10.30.44.242,UseForPATJUNIPER
10.30.44.243,UseForPATJUNIPER
10.30.44.244,UseForPATJUNIPER
10.30.44.245,UseForPATJUNIPER
10.30.44.246,UseForPATJUNIPER
10.100.41.1,GWontamin-router
10.100.41.2,InterfaceonFortigate
10.100.41.3,crmpanel
10.100.41.4,telci
10.100.41.5,NatiponFortigate
10.100.41.6,portal
10.100.41.7,1420-APP1&BI
10.200.100.2,LB-1-0
10.200.100.3,LB-1-1
10.200.120.2,DLR
10.200.120.5,LB-1-0
10.200.120.6,LB-1-1
10.201.200.1,VC67
10.201.200.2,VC67-Passive
10.201.200.3,VC67-Witness
10.201.200.9,WanVC
10.201.200.10,WanVC-Passive
10.201.200.11,WanVC-Witness
10.201.200.25,CRM-APP-N1
10.201.200.26,CRM-APP-N2
10.201.200.27,CRM-DB-N1
10.201.200.28,CRM-DB-N2
10.201.200.29,CRM-Portal-N1
10.201.200.30,CRM-Portal-N2
80.191.78.1,TCT-GW
80.191.78.2,SSO-ASA-Internet-L
80.191.78.3,SSO-ASA-Internet-R
80.191.78.4,testfordesigndatacenter
80.191.78.6,Mikrotik-Tamin
80.191.78.7,FortiGate-VZKZone
80.191.78.11,Rhwebsrv3
80.191.78.12,HamrahAvalFirewall
80.191.78.13,Hardenning-OS-Linux
80.191.78.14,commintment.tamin.org
80.191.78.15,Mr-Saadinam-PC
80.191.78.18,testmikrotik
80.191.78.19,Eservice-N4
80.191.78.20,IPMonitor
80.191.78.21,Plesk.tamin.org
80.191.78.22,Plesk.tamin.org
80.191.78.23,Eservice-N1
80.191.78.24,Eservice-N2
80.191.78.25,Eservice-N3
80.191.78.26,.Plesk
80.191.78.29,sam
80.191.78.35,TFH-Node1
80.191.78.36,TFH-Node2
80.191.78.39,E_Payment-Dis-NSX
80.191.78.40,Security-NTA
80.191.78.48,CRM-Reporting(NEW)
80.191.78.49,DarmanWeb
80.191.78.50,Pouri
80.191.78.51,Webserver4
80.191.78.52,Webserver4
80.191.78.53,rightel-mikrotik
80.191.78.54,Webserver4
80.191.78.56,Webserver1
80.191.78.57,WebServer2019-1
80.191.78.58,Webserver4
80.191.78.59,Adobe-Connect
80.191.78.60,formr.famili
80.191.78.62,EX-Eservices-Dis-F5
80.191.78.67,mailserver-node2.ssodc.ir
80.191.78.68,mailserver-proxy.ssodc.ir
80.191.78.69,imapsync-srv.ssodc.ir
80.191.78.71,smart4-R
80.191.78.73,justseesms1000.ir
80.191.78.74,justseesms1000.ir
80.191.78.75,Smart4-Sh3
80.191.78.76,AssetView-Clone
80.191.78.81,kasper-root
80.191.78.82,Eservice-Test-Environment
80.191.78.83,kasper-r2
80.191.78.85,smart4-sh6
80.191.78.91,samt-node3
80.191.78.92,Padvish-Root-Tamin
80.191.78.93,UseForPATinFortigateSamnode3&Bank&192.168.101.102
80.191.78.95,WSUSWAN
80.191.78.96,WSUS
80.191.78.98,TaminSOA-Node3
80.191.78.99,TaminSOA-Node1
80.191.78.100,TaminSOA-Node2
80.191.78.101,Rhwebsrv3
80.191.78.102,
80.191.78.103,CRM-Educate-Test1(موقت)
80.191.78.104,CRM-Educate-Test2(موقت)
80.191.78.111,GamApp-N1
80.191.78.113,callcenter-voip
80.191.78.120,Profile-Service-Dis-F5
80.191.78.125,PRTG
80.191.78.126,Es-darman
80.191.78.127,samt-node4
80.191.78.128,KaliLinux
80.191.78.132,WANDNS2
80.191.78.133,samt-node2
80.191.78.134,WANDNS
80.191.78.135,samt-node5
80.191.78.142,smart4-sh2
80.191.78.143,insjobls-kar
80.191.78.145,????
80.191.78.146,Samt-Dis-F5
80.191.78.154,order-payment
80.191.78.160,archiva
80.191.78.164,Kali-Linux(MRS Rajabian)
80.191.78.170,Eservice-Test(Eivazi)
80.191.78.198,VZK-Observation
80.191.78.206,Kali_Last(FakhariTest)
80.191.78.218,Oim-Node1.tamin.org
80.191.78.221,To-SRV-Tsti-Shahanjarini
80.191.78.222,To-SRV-Tsti-Shahanjarini
80.191.78.227,Account-Service-N1
80.191.78.228,Account-Service-N2
80.191.78.229,Jira
80.191.78.233,ssocrm-smsys
80.191.78.248,CommonWS-Node1
80.191.78.249,CommonWS-Node2
80.191.78.250,CommonWS-Node3
80.191.79.18,Darman-Node5
80.191.79.20,Plesk
80.191.79.21,Plesk
80.191.79.22,Plesk
80.191.79.23,MC-Node1
80.191.79.24,MC-Node2
80.191.79.25,MC-Node3
80.191.79.26,MC-Node4
80.191.79.35,ProcessDisk-Dis-F5
80.191.79.38,MailServer-Node1
80.191.79.39,MailServer-Node2
80.191.79.40,mail-proxy
80.191.79.41,MailServer-Log
80.191.79.43,BI-Darman
80.191.79.44,kasper-sso2
80.191.79.45,Portalkhabar-Dis-F5
80.191.79.46,Test-Darman-Node2
80.191.79.47,InspectionCRM-APP
80.191.79.48,Kasper-Sso
80.191.79.49,InspectionCRM-SMS
80.191.79.50,EzamBimar-Node1
80.191.79.51,MailServer-N2(NEWVersion)
80.191.79.52,MailServer-N1(NEWVersion)
80.191.79.53,MailServer-Proxy(NEWVersion)
80.191.79.56,Audit-N1
80.191.79.57,Audit-N2
80.191.79.66,4gon-statSRV1
80.191.79.68,4gon-services2
80.191.79.69,4Gon-Services1
80.191.79.76,CRM_Test2
80.191.79.80,4Gon-APP-Test
80.191.79.100,workshop-n1.ssodc.ir
80.191.79.101,workshop-n2.ssodc.ir
80.191.79.102,Kasper-s
80.191.79.113,Account-Service-N1
80.191.79.114,Account-Service-N2
80.191.79.121,Account-Service-Dis-F5
80.191.79.122,Profile-Service-Dis-F5
80.191.79.124,DarmanRefah
80.191.79.128,Darman-Test(Basiri)(172.18.4.28)
80.191.79.140,EPService-Node1
80.191.79.141,EPService-Node2
80.191.79.142,Darman-No1(NEW)
80.191.79.143,Darman-No2(NEW)
80.191.79.144,Darman-No3(NEW)
80.191.79.145,Darman-No4(NEW)
80.191.79.146,jira-srv
80.191.79.150,PortalKhabar-MSS-Dis-F5
80.191.79.153,Test-DevOPS
80.191.79.156,Darman-No5(NEW)
80.191.79.157,Darman-No6(NEW)
80.191.79.158,Darman-No7(NEW)
80.191.79.159,Darman-No8(NEW)
80.191.79.162,Darman-Service-N1
80.191.79.163,Darman-Service-N2
80.191.79.164,Darman-Service-N3
80.191.79.165,BMC-Node1
80.191.79.166,BMC-Node2
80.191.79.167,BMC-Node3
80.191.79.180,Eservice-Node1Eservice-Node2Eservice-Node3Eservice-Node4
80.191.79.181,ReserveForEservice
80.191.79.240,natpool
80.191.79.243,ForPAT4GONINASA
172.16.0.6,STRDB3-Tesh-Hosseini
172.16.0.7,CRM-Reporting
172.16.0.8,Me-Report
172.16.0.9,CRMDB-Cluster
172.16.0.10,CRMDB-LIStener
172.16.0.11,CRMApp-N1
172.16.0.12,CRMApp-N2
172.16.0.13,CRMDB-N1
172.16.0.14,CRMDB-N2
172.16.0.15,Eservice-N4
172.16.0.16,CRM-Notif
172.16.0.17,CRM-Monitoring
172.16.0.18,crmapp3-test
172.16.0.19,EPService-Node1
172.16.0.20,EPService-Node2
172.16.0.21,UPS-WAN-Monitoring
172.16.0.22,OPManager-APM
172.16.0.23,Eservice-N1
172.16.0.24,Eservice-N2
172.16.0.25,Eservice-N3
172.16.0.26,EP-No1
172.16.0.27,DG2-Test
172.16.0.28,DG2-Test
172.16.0.29,Array Dispatcher
172.16.0.30,Tape-Backup
172.16.0.33,CRMDev-TellC
172.16.0.34,EP-No2
172.16.0.35,skype-test
172.16.0.36,ha-proxy
172.16.0.37,Next-Rajabian
172.16.0.38,VeeamOne-Wan
172.16.0.39,VeeamOne
172.16.0.40,ca server - test ???
172.16.0.42,smart4-sh2
172.16.0.43,Ex-Eservices
172.16.0.44,citrix test
172.16.0.45,SQLDataBase2019
172.16.0.46,Splunk
172.16.0.47,Budget
172.16.0.48,TFH-Admin-N1
172.16.0.49,TFH-Admin-N2
172.16.0.50,BI12APP1
172.16.0.51,veeam-Backup
172.16.0.52,piwik_New
172.16.0.53,samt-node-test1
172.16.0.54,samt-node-test2
172.16.0.55,Syslog-Server
172.16.0.56,Ip-Monitor
172.16.0.57,IPMon-Stream
172.16.0.58,ssl-test
172.16.0.59,DC1
172.16.0.60,Hardening-OS
172.16.0.61,EP-No3
172.16.0.62,Portal-Test
172.16.0.63,TCR-Test
172.16.0.64,veeam FLR
172.16.0.65,acs_Server
172.16.0.66,portal-dispatch
172.16.0.67,Portal-node1
172.16.0.68,Portal-node2
172.16.0.70,Dis for SSL
172.16.0.71,webserver-02
172.16.0.72,AssetView
172.16.0.73,weblogictbase-template
172.16.0.74,Tape Backup
172.16.0.75,smart4-sh3
172.16.0.76,TCR-Node2
172.16.0.77,smart4-sh
172.16.0.78,Docker-APP-N1
172.16.0.79,Docker-APP-N2
172.16.0.80,Docker-APP-N3
172.16.0.81,ip mon
172.16.0.82,ins-relation
172.16.0.83,storage-app
172.16.0.84,Claim-Operation
172.16.0.85,Claim-dis
172.16.0.86,TCR-Node1
172.16.0.87,CRMAPP-n3
172.16.0.88,Sata-Service
172.16.0.89,sms-service
172.16.0.90,taminsoa-n1
172.16.0.91,taminsoa-n2
172.16.0.92,taminsoa-n3
172.16.0.93,RADIUS server
172.16.0.94,TCR-N2
172.16.0.98,CRMDB
172.16.0.99,SQL2016-Test
172.16.0.100,win-tamindc
172.16.0.101,WanDC1.Taminwan.Tnet
172.16.0.102,WanDC2.Taminwan.Tnet
172.16.0.103,Shob-APP1.Taminwan.Tnet
